,station_name,street_address,city,access_days_time
340,"Saybrook Point Inn, Spa & Marina - Tesla Destination",2 Bridge St,Old Saybrook,24 hours daily; for customer use only
341,Fairfield Train Station Overflow Lot,140 Mill Plain Rd,Fairfield,24 hours daily; pay lot
342,Metro Center 1,One Station Place,Stamford,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours
343,Dinosaur State Park and Arboretum,400 West St,Rockyhill,Park business hours
344,Staples High School,70 North Avenue,Westport,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
345,Windham Town Hall,979 Main St,Windham,24 hours daily
346,West Hartford - Town Hall,50 S Main St,West Hartford,Parking lot business hours
347,Connecticut Welcome Center - Tesla Supercharger,1 E Trail,Darien,24 hours daily; for Tesla use only
348,City of New Haven - Temple Street Garage,1 Temple St,New Haven,24 hours daily; pay lot
349,Minor Memorial Library,23 South St,Roxbury,24 hours daily
350,Szczesny Parking Garage,31 Bank St,New Britain,24 hours daily
351,GE WS - Price Chopper #243 Storrs CT 1,1220  Storrs Rd,Mansfield,24 hours daily
352,AAMCO EV,133 Pitkin St,East Hartford,24 hours daily
353,Winvian Farm - Tesla Destination,155 Alain White Rd,Morris,24 hours daily; for customer use only; see front desk for access
354,Brass Mill Center - Entrance 3,495 Union St,Waterbury,6am-12pm daily
355,COMM LOT STA 1,13 Durant Ave.,Bethel,24 hours daily
356,Waterbury-Oxford Airport,300 Christian St,Oxford,24 hours daily
357,Shagbark Lumber and Farm Supply,1 Mt Parnassus Millington Rd,East Haddam,24 hours daily
358,Metro Green Residential Parking - Tesla Destination,717  Atlantic St,Stamford,24 hours daily
359,Hartford Road Henny Penny,969 Hartford Road,Waterford,MO: 12:00am-12:00am; TU: 12:00am-12:00am; WE: 12:00am-12:00am; TH: 12:00am-12:00am; FR: 12:00am-12:00am; SA: 12:00am-12:00am; SU: 12:00am-12:00am
360,FOXWOODS,101 Trolley Line Blvd,Mashantucket,24 hours daily
361,Convention Center - Hartford,100 Columbus Blvd,Hartford,24 hours daily; pay lot
362,County Line Buick-Nissan,2191 Straits Turnpike,Middlebury,Dealership business hours
363,MYSTIC AQUARIUM,55 Coogan Blvd,Mystic,24 hours daily
364,University of Connecticut - Waterbury,99 E Main St,Waterbury,24 hours daily
365,Danbury Parking Authority,21 Delay St,Danbury,Garage business hours
366,INFINITYGREEN,201 Commons Park S,Stamford,24 hours daily
367,City of Hartford - City Hall,35 Arch St,Hartford,24 hours daily
368,White Hart Inn - Tesla Destination,15 Undermountain Rd,Salisbury,24 hours daily; for customer use only
369,Premier Subaru,155 N Main St,Branford,24 hours daily
370,Central Connecticut State University - Student Center Parking Garage,165 Ella Grasso Blvd,New Britain,24 hours daily
371,University of Connecticut - South Parking Garage,505 Jim Calhoun Way,Storrs,Garage business hours
372,Carter Chevrolet,175 Hartford Turnpike,Vernon,Dealership business hours
373,Dunkin' Donuts,189 Forbes Ave,New Haven,24 hours daily
374,Bloomfield Human Services Center,330 Park Avenue,Bloomfield,MO: Not Specified; TU: Not Specified; WE: Not Specified; TH: Not Specified; FR: Not Specified; SA: Not Specified; SU: Not Specified
375,Grand Central Fashion Plaza Shopping Center - Tesla Supercharger,1145 High Ridge Rd,North Stamford,24 hours daily; for Tesla use only
376,University of Connecticut - North Parking Garage,103 N Eagleville Rd,Storrs,Garage business hours
377,Fairfield SB - Tesla Supercharger,267 Round Hill Road,Fairfield,24 hours daily; for Tesla use only
378,Fairfield Woods Library,1147 Fairfield Woods Rd,Fairfield,24 hours daily
379,Yankee Doodle,10 Burnell Boulevard,Norwalk,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours
380,Lee Partyka Chevrolet Mazda Isuzu,200 Skiff St,Hamden,Dealership business hours
381,777 MAIN ST,71 Asylum St,Hartford,24 hours daily
382,Norwich Public Utilities,173 N Main St,Norwich,24 hours daily
383,Fairfield Plaza,116 Danbury Rd,New Milford,24 hours daily
384,Eastern Connecticut State University - Shakespeare Parking Garage,24 Charger Oak Dr,Willimantic,24 hours daily
